date,PayoutRatio,symbol,SustainableGrowthRate,CashReturn,SalesPerShare,BookValuePerShare,CFOPerShare,FCFPerShare,EarningYield,PERatio,SalesYield,PSRatio,BookValueYield,PBRatio,CFYield,PCFRatio,FCFYield,FCFRatio,ForwardEarningYield,ForwardPERatio,PEGRatio,PEGPayback,ForwardDividend,WorkingCapitalPerShare,BuyBackYield,TotalYield,NormalizedPERatio,PricetoEBITDA,ForwardROE,ForwardROA,TotalAssetPerShare,ExpectedDividendGrowthRate,EVtoRevenue,EVtoPreTaxIncome,EVtoTotalAssets,EVtoFCF,EVtoEBIT,FFOPerShare,PricetoCashRatio,EVToForwardEBITDA,EVToForwardRevenue,EVToForwardEBIT
1/6/2020,0.2523,AAPL,0.4181,0.0478,55.9645,20.636,14.9263,12.6688,0.0405,24.697225,0.1906,5.247078,0.0703,14.229989,0.0508,19.673348,0.0431,23.17905,0.0451,22.1729,2.0292,10.8661,3.08,13.022,0.0513,0.0617,24.697225,16.676683,0.6501,0.1738,77.1994,0.0132,4.978,19.7017,3.8259,21.9902,18.6853,0,0,16.4487,4.7323,19.4704
1/7/2020,0.2523,AAPL,0.4181,0.0478,55.9645,20.636,14.9263,12.6688,0.0405,24.697225,0.1906,5.247078,0.0703,14.229989,0.0508,19.673348,0.0431,23.17905,0.0451,22.1729,2.0292,10.8661,3.08,13.022,0.0513,0.0617,24.697225,16.676683,0.6501,0.1738,77.1994,0.0132,4.978,19.7017,3.8259,21.9902,18.6853,0,0,16.4487,4.7323,19.4704
1/8/2020,0.2523,AAPL,0.4181,0.0478,55.9645,20.636,14.9263,12.6688,0.0405,24.697225,0.1906,5.247078,0.0703,14.229989,0.0508,19.673348,0.0431,23.17905,0.0451,22.1729,2.0292,10.8661,3.08,13.022,0.0513,0.0617,24.697225,16.676683,0.6501,0.1738,77.1994,0.0132,4.978,19.7017,3.8259,21.9902,18.6853,0,0,16.4487,4.7323,19.4704
1/9/2020,0.2523,AAPL,0.4181,0.0478,55.9645,20.636,14.9263,12.6688,0.0405,24.697225,0.1906,5.247078,0.0703,14.229989,0.0508,19.673348,0.0431,23.17905,0.0451,22.1729,2.0292,10.8661,3.08,13.022,0.0513,0.0617,24.697225,16.676683,0.6501,0.1738,77.1994,0.0132,4.978,19.7017,3.8259,21.9902,18.6853,0,0,16.4487,4.7323,19.4704
1/10/2020,0.2523,AAPL,0.4181,0.0478,55.9645,20.636,14.9263,12.6688,0.0405,24.697225,0.1906,5.247078,0.0703,14.229989,0.0508,19.673348,0.0431,23.17905,0.0451,22.1729,2.0292,10.8661,3.08,13.022,0.0513,0.0617,24.697225,16.676683,0.6501,0.1738,77.1994,0.0132,4.978,19.7017,3.8259,21.9902,18.6853,0,0,16.4487,4.7323,19.4704
1/13/2020,0.2523,AAPL,0.4181,0.0478,55.9645,20.636,14.9263,12.6688,0.0405,24.697225,0.1906,5.247078,0.0703,14.229989,0.0508,19.673348,0.0431,23.17905,0.0451,22.1729,2.0292,10.8661,3.08,13.022,0.0513,0.0617,24.697225,16.676683,0.6501,0.1738,77.1994,0.0132,4.978,19.7017,3.8259,21.9902,18.6853,0,0,16.4487,4.7323,19.4704
1/14/2020,0.2523,AAPL,0.4181,0.0478,55.9645,20.636,14.9263,12.6688,0.0405,24.697225,0.1906,5.247078,0.0703,14.229989,0.0508,19.673348,0.0431,23.17905,0.0451,22.1729,2.0292,10.8661,3.08,13.022,0.0513,0.0617,24.697225,16.676683,0.6501,0.1738,77.1994,0.0132,4.978,19.7017,3.8259,21.9902,18.6853,0,0,16.4487,4.7323,19.4704
1/15/2020,0.2523,AAPL,0.4181,0.0478,55.9645,20.636,14.9263,12.6688,0.0405,24.697225,0.1906,5.247078,0.0703,14.229989,0.0508,19.673348,0.0431,23.17905,0.0451,22.1729,2.0292,10.8661,3.08,13.022,0.0513,0.0617,24.697225,16.676683,0.6501,0.1738,77.1994,0.0132,4.978,19.7017,3.8259,21.9902,18.6853,0,0,16.4487,4.7323,19.4704
1/16/2020,0.2523,AAPL,0.4181,0.0478,55.9645,20.636,14.9263,12.6688,0.0405,24.697225,0.1906,5.247078,0.0703,14.229989,0.0508,19.673348,0.0431,23.17905,0.0451,22.1729,2.0292,10.8661,3.08,13.022,0.0513,0.0617,24.697225,16.676683,0.6501,0.1738,77.1994,0.0132,4.978,19.7017,3.8259,21.9902,18.6853,0,0,16.4487,4.7323,19.4704
1/17/2020,0.2523,AAPL,0.4181,0.0478,55.9645,20.636,14.9263,12.6688,0.0405,24.697225,0.1906,5.247078,0.0703,14.229989,0.0508,19.673348,0.0431,23.17905,0.0451,22.1729,2.0292,10.8661,3.08,13.022,0.0513,0.0617,24.697225,16.676683,0.6501,0.1738,77.1994,0.0132,4.978,19.7017,3.8259,21.9902,18.6853,0,0,16.4487,4.7323,19.4704
