symbol,date,close,high,low,open,volume,bollingerbands,lowerband,middleband,standarddeviation,upperband,onbalancevolume,averagegain,averageloss,relativestrengthindex
AAPL R735QTJ8XC9X,10/6/1998,0.995247,1.068522,0.973913,1.051208,5058100,0.995247,0.989933,1.123424,0.066745,1.256915,0.062665,0.007915,0.022415,26.095821
AAPL R735QTJ8XC9X,10/7/1998,1.006686,1.060793,1.004831,1.041624,3490500,1.006686,0.942897,1.102199,0.079651,1.2615,0.09757,0.008502,0.022415,27.5
AAPL R735QTJ8XC9X,10/8/1998,0.987517,1.029875,0.964329,1.001121,4594700,0.987517,0.902489,1.081348,0.089429,1.260206,0.051623,0.004823,0.024332,16.542948
AAPL R735QTJ8XC9X,10/9/1998,0.95258,0.964329,0.88116,0.958455,6134700,0.95258,0.862037,1.057935,0.097949,1.253834,-0.009724,0.003865,0.027826,12.195122
AAPL R735QTJ8XC9X,10/10/1998,1.086145,1.088,0.950725,0.989372,5782400,1.086145,0.879918,1.063064,0.091573,1.246211,0.0481,0.016634,0.027826,37.413074
AAPL R735QTJ8XC9X,10/13/1998,1.155711,1.188484,1.130358,1.159421,5470300,1.155711,0.908694,1.079909,0.085608,1.251124,0.102803,0.022632,0.027826,44.852941
AAPL R735QTJ8XC9X,10/14/1998,1.202087,1.211672,1.113044,1.176735,8275100,1.202087,0.936429,1.102123,0.082847,1.267818,0.185554,0.026095,0.027826,48.394495
AAPL R735QTJ8XC9X,10/15/1998,1.159421,1.290822,1.138087,1.228986,20110500,1.159421,0.951843,1.112541,0.080349,1.273239,-0.015551,0.026095,0.028228,48.036426
AAPL R735QTJ8XC9X,10/16/1998,1.132522,1.151691,1.097585,1.120773,7149200,1.132522,0.952517,1.116174,0.081828,1.279831,-0.087043,0.026095,0.023374,52.75
AAPL R735QTJ8XC9X,10/17/1998,1.134377,1.176735,1.130358,1.147981,5434100,1.134377,0.952116,1.119484,0.083684,1.286852,-0.032702,0.02628,0.021241,55.302537
AAPL R735QTJ8XC9X,10/20/1998,1.157566,1.176735,1.109334,1.134377,4265400,1.157566,0.964137,1.126408,0.081135,1.288679,0.009952,0.028599,0.012367,69.811321
AAPL R735QTJ8XC9X,10/21/1998,1.117063,1.180754,0.989372,1.173025,3412200,1.117063,0.974036,1.124709,0.075336,1.275381,-0.02417,0.027455,0.016417,62.579281
AAPL R735QTJ8XC9X,10/22/1998,1.147981,1.157566,1.105314,1.136232,3835900,1.147981,1.000717,1.12894,0.064111,1.257163,0.014189,0.030547,0.0145,67.81057
AAPL R735QTJ8XC9X,10/23/1998,1.136232,1.16344,1.118918,1.140252,2815200,1.136232,1.072666,1.130266,0.0288,1.187866,-0.013963,0.030547,0.012182,71.490593
AAPL R735QTJ8XC9X,10/24/1998,1.097585,1.140252,1.086145,1.136232,3217400,1.097585,1.070981,1.124324,0.026671,1.177666,-0.046137,0.01719,0.016046,51.72093
AAPL R735QTJ8XC9X,10/27/1998,1.158493,1.16715,1.097585,1.114899,4104400,1.158493,1.076925,1.130537,0.026806,1.184148,-0.005093,0.016325,0.016046,50.429799
AAPL R735QTJ8XC9X,10/28/1998,1.089856,1.203943,1.083981,1.17488,4527400,1.089856,1.075989,1.12314,0.023575,1.170291,-0.050367,0.011687,0.02291,33.780161
AAPL R735QTJ8XC9X,10/29/1998,1.136232,1.159421,1.086145,1.089856,3315600,1.136232,1.081604,1.12552,0.021958,1.169437,-0.017211,0.016325,0.018643,46.68435
AAPL R735QTJ8XC9X,10/30/1998,1.124793,1.157566,1.10717,1.126648,3042000,1.124793,1.081349,1.125388,0.02202,1.169428,-0.047631,0.016325,0.017098,48.843663
AAPL R735QTJ8XC9X,10/31/1998,1.145817,1.173025,1.120773,1.138087,2837300,1.145817,1.084086,1.129102,0.022508,1.174119,-0.019258,0.018242,0.017098,51.618548
AAPL R735QTJ8XC9X,11/3/1998,1.159421,1.16715,1.151691,1.159421,2223300,1.159421,1.089152,1.134615,0.022732,1.180078,0.002975,0.017283,0.017098,50.269784
AAPL R735QTJ8XC9X,11/4/1998,1.17117,1.182609,1.153546,1.155711,3411400,1.17117,1.091236,1.141261,0.025013,1.191286,0.037089,0.018458,0.013047,58.58685
AAPL R735QTJ8XC9X,11/5/1998,1.194358,1.213527,1.17488,1.192194,5727300,1.194358,1.090143,1.150915,0.030386,1.211687,0.094362,0.017685,0.013047,57.545272
