symbol,date,close,high,low,open,volume,bollingerbands,lowerband,middleband,standarddeviation,upperband,onbalancevolume,averagegain,averageloss,relativestrengthindex
AMZN R735QTJ8XC9X,10/6/1998,17.666702,18.500037,16.833367,18.146703,4059700,17.666702,14.985383,17.443864,1.22924,19.902345,0.049273,0.678168,0.338667,66.693985
AMZN R735QTJ8XC9X,10/7/1998,18.051703,18.708371,17.333368,18.583371,4615900,18.051703,16.140318,17.55438,0.707031,18.968442,0.095432,0.673001,0.338667,66.523888
AMZN R735QTJ8XC9X,10/8/1998,15.500031,17.458368,15.208364,17.105034,7058700,15.500031,15.098913,17.180862,1.040975,19.262811,0.024845,0.393834,0.593835,39.875127
AMZN R735QTJ8XC9X,10/9/1998,14.365029,14.666696,13.33336,13.813361,4983000,14.365029,13.727755,16.668892,1.470569,19.61003,-0.024985,0.393834,0.658335,37.430699
AMZN R735QTJ8XC9X,10/10/1998,15.166697,15.313364,13.958361,15.041697,3434500,15.166697,13.157237,16.395766,1.619265,19.634295,0.00936,0.354167,0.658335,34.979424
AMZN R735QTJ8XC9X,10/13/1998,15.541698,16.833367,15.500031,16.188366,3640600,15.541698,13.150567,16.240481,1.544957,19.330395,0.045766,0.283334,0.658335,30.088496
AMZN R735QTJ8XC9X,10/14/1998,15.218364,15.896698,15.10503,15.301697,1765000,15.218364,13.104009,16.054641,1.475316,19.005274,0.028116,0.283334,0.644835,30.526127
AMZN R735QTJ8XC9X,10/15/1998,15.573364,16.271699,14.958363,15.176697,2573200,15.573364,13.302511,15.967136,1.332313,18.631762,0.053848,0.318834,0.618835,34.002844
AMZN R735QTJ8XC9X,10/16/1998,16.166699,16.313366,15.355031,15.708365,2773400,16.166699,13.398184,16.003421,1.302618,18.608657,0.081582,0.378167,0.470834,44.542599
AMZN R735QTJ8XC9X,10/17/1998,16.573366,16.990034,16.166699,16.438366,3574300,16.573366,13.919691,16.107047,1.093678,18.294403,0.117325,0.291667,0.470834,38.251366
AMZN R735QTJ8XC9X,10/20/1998,17.625035,17.813369,16.500033,16.500033,2727700,17.625035,14.208417,16.383045,1.087314,18.557673,0.144602,0.396834,0.401001,49.738876
AMZN R735QTJ8XC9X,10/21/1998,17.896702,18.750038,17.771702,18.125036,3154200,17.896702,14.541527,16.658255,1.058364,18.774984,0.176144,0.385501,0.401001,49.014622
AMZN R735QTJ8XC9X,10/22/1998,18.281703,18.375037,17.605035,18.240036,2070700,18.281703,14.456125,16.953428,1.248651,19.45073,0.196851,0.424001,0.145834,74.407722
AMZN R735QTJ8XC9X,10/23/1998,19.115038,19.646706,17.896702,17.938369,4432600,19.115038,14.657422,17.346448,1.344513,20.035473,0.241177,0.507334,0.032333,94.008647
AMZN R735QTJ8XC9X,10/24/1998,19.385039,19.718373,19.021705,19.083371,2257700,19.385039,14.81729,17.717101,1.449905,20.616912,0.263754,0.454168,0.032333,93.353888
AMZN R735QTJ8XC9X,10/27/1998,20.313374,20.313374,19.458372,19.85504,3233100,20.313374,14.946741,18.18915,1.621205,21.431559,0.296085,0.509501,0.032333,94.032605
AMZN R735QTJ8XC9X,10/28/1998,19.375039,21.000042,19.343372,20.708375,3305800,19.375039,15.444347,18.404766,1.48021,21.365186,0.263027,0.509501,0.093834,84.447514
AMZN R735QTJ8XC9X,10/29/1998,19.500039,19.916707,19.041705,19.490039,2962900,19.500039,16.035633,18.603907,1.284137,21.172181,0.292656,0.486501,0.093834,83.831132
AMZN R735QTJ8XC9X,10/30/1998,21.125042,21.208376,19.833373,20.208374,5360500,21.125042,16.513595,19.062295,1.27435,21.610995,0.346261,0.589668,0.093834,86.271641
AMZN R735QTJ8XC9X,10/31/1998,21.073375,21.635043,20.771708,21.105042,3461300,21.073375,17.116784,19.427946,1.155581,21.739108,0.311648,0.549001,0.099,84.722222
AMZN R735QTJ8XC9X,11/3/1998,21.750044,21.90671,20.708375,21.355043,5350200,21.750044,17.460189,19.850146,1.194979,22.240103,0.36515,0.511501,0.099,83.783784
AMZN R735QTJ8XC9X,11/4/1998,21.041709,22.605045,20.958375,21.855044,3064600,21.041709,17.938315,20.066793,1.064239,22.195271,0.334504,0.484334,0.169834,74.038217
AMZN R735QTJ8XC9X,11/5/1998,21.65671,22.000044,21.105042,21.89671,3285700,21.65671,18.423943,20.355869,0.965963,22.287796,0.367361,0.507334,0.169834,74.92001
