symbol,date,close,high,low,open,volume,bollingerbands,lowerband,middleband,standarddeviation,upperband,onbalancevolume,averagegain,averageloss,relativestrengthindex
FB V6OIPNZEM8V9,6/5/2012,26.89,27.65,26.44,27.22,34354248,26.89,25.825553,30.418129,2.296288,35.010706,2.680549,0.34,1.471,18.774158
FB V6OIPNZEM8V9,6/6/2012,25.87,27.76,25.75,26.7,41586612,25.87,25.010688,29.591197,2.290254,34.171705,2.264683,0.34,1.154,22.757697
FB V6OIPNZEM8V9,6/7/2012,26.85,27.17,25.52,26.12,60383343,26.85,24.393665,29.092797,2.349566,33.791929,2.868517,0.438,0.864,33.640553
FB V6OIPNZEM8V9,6/8/2012,26.28,27.35,26.15,27,25411825,26.28,24.048797,28.58138,2.266291,33.113962,2.614398,0.349,0.921,27.480315
FB V6OIPNZEM8V9,6/9/2012,27.07,27.75,26.44,26.57,37336074,27.07,24.862794,28.306583,1.721895,31.750372,2.987759,0.326,0.921,26.142743
FB V6OIPNZEM8V9,6/12/2012,27.01,28.07,26.84,27.16,27306071,27.01,25.854985,28.070841,1.107928,30.286696,2.714698,0.326,0.815,28.571429
FB V6OIPNZEM8V9,6/13/2012,27.38,27.77,26.96,27.48,14964200,27.38,25.930329,27.945233,1.007452,29.960138,2.86434,0.363,0.507,41.724138
FB V6OIPNZEM8V9,6/14/2012,27.26,28.1,27.1,27.66,16781102,27.26,25.894638,27.820646,0.963004,29.746653,2.696529,0.363,0.455,44.376528
FB V6OIPNZEM8V9,6/15/2012,28.3,28.32,27.38,27.65,16256091,28.3,26.613245,27.907801,0.647278,29.202357,2.85909,0.318,0.455,41.138422
FB V6OIPNZEM8V9,6/16/2012,30.05,30.1,28.35,28.52,30769986,30.05,26.09155,28.297292,1.102871,30.503033,3.16679,0.493,0.258,65.645806
FB V6OIPNZEM8V9,6/19/2012,31.41,32.08,29.41,29.94,42041174,31.41,25.584192,28.863239,1.639523,32.142285,3.587202,0.629,0.177,78.039702
FB V6OIPNZEM8V9,6/20/2012,31.93,32.18,30.7,31.54,30425485,31.93,25.564915,29.420832,1.927959,33.276749,3.891457,0.681,0.075,90.079365
FB V6OIPNZEM8V9,6/21/2012,31.6,31.92,31.15,31.92,15089306,31.6,25.660676,29.817044,2.078184,33.973412,3.740564,0.583,0.108,84.370478
FB V6OIPNZEM8V9,6/22/2012,31.83,32.5,31.51,31.67,21457599,31.83,26.054267,30.183036,2.064385,34.311805,3.95514,0.606,0.051,92.237443
FB V6OIPNZEM8V9,6/23/2012,33.19,33.45,32.06,32.41,48282348,33.19,26.347865,30.729757,2.190946,35.111649,4.437963,0.663,0.051,92.857143
FB V6OIPNZEM8V9,6/26/2012,32.06,33.02,31.55,32.88,23478274,32.06,26.932011,30.971619,2.019804,35.011228,4.20318,0.663,0.158,80.755177
FB V6OIPNZEM8V9,6/27/2012,33.1,33.44,32.5,32.69,24177036,33.1,27.641695,31.358597,1.858451,35.0755,4.444951,0.73,0.158,82.207207
FB V6OIPNZEM8V9,6/28/2012,32.22,32.9,31.9,32.46,26876882,32.22,28.768954,31.515216,1.373131,34.261478,4.176182,0.73,0.234,75.726141
FB V6OIPNZEM8V9,6/29/2012,31.35,32.19,30.9,31.96,16849750,31.35,29.777987,31.485177,0.853595,33.192366,4.007684,0.626,0.321,66.103485
FB V6OIPNZEM8V9,6/30/2012,31.11,31.98,30.76,31.92,18605715,31.11,30.085708,31.416963,0.665628,32.748218,3.821627,0.451,0.345,56.658291
FB V6OIPNZEM8V9,7/3/2012,30.78,31.73,30.55,31.23,13742708,30.78,29.817102,31.301151,0.742025,32.785201,3.6842,0.315,0.378,45.454545
FB V6OIPNZEM8V9,7/4/2012,31.2,31.44,30.8,30.92,8567759,31.2,29.73788,31.28276,0.77244,32.827641,3.769878,0.305,0.378,44.65593
FB V6OIPNZEM8V9,7/6/2012,31.47,31.62,30.95,31.32,9644388,31.47,29.761775,31.316804,0.777515,32.871833,3.866322,0.332,0.345,49.039882
FB V6OIPNZEM8V9,7/7/2012,31.72,31.9,31.26,31.44,10755364,31.72,29.833655,31.390112,0.778229,32.94657,3.973875,0.334,0.345,49.189985
FB V6OIPNZEM8V9,7/10/2012,32.17,32.88,31.99,32.1,17343956,32.17,30.236077,31.53191,0.647917,32.827743,4.147315,0.243,0.345,41.326531
FB V6OIPNZEM8V9,7/11/2012,31.44,32.48,31.16,32.45,13904774,31.44,30.23148,31.515199,0.64186,32.798919,4.008267,0.243,0.305,44.343066
FB V6OIPNZEM8V9,7/12/2012,30.95,31.56,30.55,31.48,11444533,30.95,30.502295,31.412436,0.45507,32.322576,3.893822,0.139,0.354,28.194726
FB V6OIPNZEM8V9,7/13/2012,30.81,31.4,30.6,30.7,11133872,30.81,30.487206,31.302902,0.407848,32.118598,3.782483,0.139,0.28,33.174224
FB V6OIPNZEM8V9,7/14/2012,30.7,31.06,30.56,31.05,7752664,30.7,30.303643,31.193283,0.44482,32.082924,3.704956,0.139,0.204,40.524781
FB V6OIPNZEM8V9,7/17/2012,28.27,30.5,28.21,30.5,23968414,28.27,28.667015,30.661777,0.997381,32.656539,3.465272,0.139,0.423,24.733096
FB V6OIPNZEM8V9,7/18/2012,28.09,28.58,27.15,28.5,29758517,28.09,27.557505,30.194181,1.318338,32.830858,3.167687,0.139,0.408,25.411335
FB V6OIPNZEM8V9,7/19/2012,29.14,29.29,28.15,28.39,16446752,29.14,27.240973,30.002512,1.380769,32.764051,3.332155,0.202,0.408,33.114754
FB V6OIPNZEM8V9,7/20/2012,29.01,29.5,28.63,29.41,13280926,29.01,27.020541,29.822055,1.400757,32.623569,3.199345,0.175,0.421,29.362416
FB V6OIPNZEM8V9,7/21/2012,28.73,29.47,28.72,29,11347299,28.73,26.884369,29.6235,1.369565,32.36263,3.085872,0.15,0.449,25.041736
FB V6OIPNZEM8V9,7/24/2012,28.75,29,28.01,28.12,12097857,28.75,27.100864,29.464682,1.181909,31.8285,3.206851,0.107,0.449,19.244604
FB V6OIPNZEM8V9,7/25/2012,28.44,29.45,28.1,28.82,11248957,28.44,27.18428,29.278376,1.047048,31.372471,3.094361,0.107,0.407,20.817121
FB V6OIPNZEM8V9,7/26/2012,29.31,29.49,28.08,28.39,14349786,29.31,27.50248,29.284126,0.890823,31.065771,3.237859,0.194,0.358,35.144928
FB V6OIPNZEM8V9,7/27/2012,26.97,28.23,26.73,27.73,44658950,26.97,27.045037,28.863376,0.909169,30.681714,2.79127,0.194,0.578,25.129534
FB V6OIPNZEM8V9,7/28/2012,23.71,24.54,22.28,23.19,111072357,23.71,24.773421,27.926398,1.576489,31.079375,1.680546,0.194,0.893,17.847286
FB V6OIPNZEM8V9,7/31/2012,23.15,24.04,23.03,24,28151020,23.15,22.763249,27.057962,2.147357,31.352675,1.399036,0.194,0.706,21.555556
FB V6OIPNZEM8V9,8/1/2012,21.67,23.37,21.61,23.37,54301436,21.67,20.564142,26.078333,2.757096,31.592524,0.856022,0.194,0.836,18.834951
FB V6OIPNZEM8V9,8/2/2012,20.88,21.58,20.84,21.54,43192853,20.88,18.80175,25.133181,3.165716,31.464613,0.424093,0.089,0.915,8.864542
FB V6OIPNZEM8V9,8/3/2012,20.04,20.84,19.82,20.8,54554962,20.04,17.286303,24.207148,3.460423,31.127994,-0.121457,0.089,0.986,8.27907
FB V6OIPNZEM8V9,8/4/2012,21.09,22.16,19.9,20.33,79056239,21.09,16.775857,23.640394,3.432269,30.504932,0.669106,0.194,0.958,16.840278
FB V6OIPNZEM8V9,8/7/2012,21.92,22.15,21.3,21.35,26917429,21.92,16.990992,23.327595,3.168302,29.664199,0.93828,0.275,0.958,22.303325
FB V6OIPNZEM8V9,8/8/2012,20.74,22.45,20.5,22.2,34979132,20.74,17.164196,22.857123,2.846464,28.550051,0.588489,0.275,1.045,20.833333
FB V6OIPNZEM8V9,8/9/2012,20.71,21.15,20.22,20.71,28486107,20.71,18.559761,22.466737,1.953488,26.373714,0.303628,0.188,1.048,15.210356
