symbol,date,close,high,low,open,volume,bollingerbands,lowerband,middleband,standarddeviation,upperband,onbalancevolume,averagegain,averageloss,relativestrengthindex
GOOCV VP83T1ZUHROL,4/11/2014,540.111552,563.52832,538.446049,563.468482,3828756,540.111552,530.613483,552.41251,10.899514,574.211537,-0.033044,4.131843,5.67368,42.137917
GOOCV VP83T1ZUHROL,4/12/2014,529.171094,538.54578,525.002351,531.564631,3720638,529.171094,521.787856,548.186798,13.199471,574.58574,-0.070251,3.83664,6.767725,36.179818
GOOCV VP83T1ZUHROL,4/15/2014,530.567324,542.614793,528.163814,536.291866,2474287,530.567324,515.867973,544.983257,14.557642,574.098542,-0.045508,3.976263,6.459557,38.102064
GOOCV VP83T1ZUHROL,4/16/2014,535.214775,537.039846,517.063787,535.803186,3680297,535.214775,515.204671,543.20717,14.001249,571.209668,-0.008705,3.417771,6.459557,34.602181
GOOCV VP83T1ZUHROL,4/17/2014,555.071157,555.430188,538.665457,541.138778,3654523,555.071157,519.606413,545.364258,12.878922,571.122103,0.02784,5.403409,6.443601,45.6099
GOOCV VP83T1ZUHROL,4/18/2014,534.656283,548.020196,529.719613,547.740951,6476214,534.656283,522.016522,543.417354,10.700416,564.818185,-0.036922,5.156077,8.485088,37.797924
GOOCV VP83T1ZUHROL,4/22/2014,527.196426,535.254667,524.184559,534.636337,2310654,527.196426,517.313137,540.468094,11.577478,563.623051,-0.060028,5.156077,6.620124,43.783875
GOOCV VP83T1ZUHROL,4/23/2014,533.349811,535.78324,526.1692,526.209092,2217091,533.349811,515.715538,539.173861,11.729161,562.632183,-0.037857,5.771416,6.107508,48.585341
GOOCV VP83T1ZUHROL,4/24/2014,525.520951,532.37245,524.832809,531.564631,1880064,525.520951,513.613658,536.691513,11.538927,559.769368,-0.056658,4.091951,6.890394,37.259353
GOOCV VP83T1ZUHROL,4/25/2014,523.735771,530.178374,520.344927,528.822037,1745841,523.735771,517.138349,534.335924,8.598788,551.533499,-0.074116,3.205345,7.068912,31.197826
GOOCV VP83T1ZUHROL,4/26/2014,514.620385,523.087521,514.031974,521.092908,1995593,514.620385,510.901094,530.75128,9.925093,550.601467,-0.094072,3.205345,5.754461,35.774711
GOOCV VP83T1ZUHROL,4/29/2014,516.106372,517.20341,501.44596,515.787234,3230063,516.106372,506.32493,528.08857,10.88182,549.852209,-0.061772,3.353943,4.660416,41.849179
GOOCV VP83T1ZUHROL,4/30/2014,526.278904,528.024191,514.979416,515.857046,2589951,526.278904,505.919864,527.75954,10.919838,549.599215,-0.035872,4.231574,4.660416,47.588605
GOOCV VP83T1ZUHROL,5/1/2014,525.461112,526.578096,521.092908,526.278904,1527853,525.461112,505.798841,527.341644,10.771401,548.884447,-0.051151,3.766829,4.742195,44.268636
GOOCV VP83T1ZUHROL,5/2/2014,529.889155,531.415035,522.419326,526.009631,1847462,529.889155,515.515035,527.804828,6.144896,540.09462,-0.032676,2.223995,4.742195,31.925555
GOOCV VP83T1ZUHROL,5/3/2014,526.458419,532.671642,524.184559,532.571911,1593782,526.458419,516.772363,527.560026,5.393831,538.347689,-0.048614,2.223995,3.043781,42.218856
GOOCV VP83T1ZUHROL,5/6/2014,526.229039,527.475672,519.916085,523.40666,975921,526.229039,516.598713,527.318028,5.359658,538.037344,-0.058373,2.223995,2.320733,48.935703
GOOCV VP83T1ZUHROL,5/7/2014,513.762701,524.982405,513.722809,524.074855,1479799,513.762701,513.967743,524.853423,5.44284,535.739104,-0.073171,1.608656,3.567367,31.078998
GOOCV VP83T1ZUHROL,5/8/2014,508.586678,515.228742,501.944613,514.211489,3098019,508.586678,508.295894,521.895833,6.799969,535.495772,-0.104151,1.608656,3.302083,32.75792
GOOCV VP83T1ZUHROL,5/9/2014,509.663769,515.8371,505.08613,508.088024,1935496,509.663769,504.614657,519.671822,7.528583,534.728987,-0.084796,1.716365,3.123566,35.4626
GOOCV VP83T1ZUHROL,5/10/2014,517.382925,518.489936,503.021705,508.277513,2354182,517.382925,504.48315,519.255659,7.386254,534.028167,-0.061255,2.488281,2.212027,52.93868
GOOCV VP83T1ZUHROL,5/13/2014,528.423114,528.772171,517.602333,521.481857,1761912,528.423114,505.604094,520.922469,7.659187,536.240843,-0.043635,3.443701,2.212027,60.888732
GOOCV VP83T1ZUHROL,5/14/2014,531.803985,534.656283,528.153841,529.470286,1525681,531.803985,506.529268,522.900926,8.185829,539.272584,-0.028379,2.764535,2.212027,55.551102
GOOCV VP83T1ZUHROL,5/15/2014,525.321489,531.564631,523.875394,531.564631,1082542,525.321489,506.981766,523.341029,8.179631,539.700291,-0.039204,2.764535,2.778497,49.874055
GOOCV VP83T1ZUHROL,5/16/2014,518.59964,524.453832,516.006642,524.28429,1609220,518.59964,506.986439,522.478958,7.746259,537.971477,-0.055296,2.321731,3.450682,40.221147
GOOCV VP83T1ZUHROL,5/17/2014,519.227943,520.763796,514.05192,520.045735,1420390,519.227943,506.885012,521.887864,7.501426,536.890717,-0.041092,2.384561,3.107609,43.417469
GOOCV VP83T1ZUHROL,5/20/2014,527.43578,528.303437,516.19613,518.769182,1154325,527.43578,507.674234,522.896576,7.611171,538.118919,-0.029549,3.205345,3.084671,50.959252
GOOCV VP83T1ZUHROL,5/21/2014,528.343329,534.756013,524.882674,528.363276,1580523,528.343329,508.548832,523.886895,7.669032,539.224958,-0.013744,3.2961,1.838037,64.199689
GOOCV VP83T1ZUHROL,5/22/2014,537.498608,537.747934,530.417728,531.933635,1113661,537.498608,510.934839,526.361752,7.713457,541.788665,-0.002607,4.211627,1.320434,76.131242
GOOCV VP83T1ZUHROL,5/23/2014,543.462504,546.105367,539.323679,539.722602,1426286,543.462504,513.609262,529.470979,7.930859,545.332697,0.011656,4.700308,1.320434,78.068577
GOOCV VP83T1ZUHROL,5/24/2014,551.261444,552.149047,542.156031,545.736363,1810535,551.261444,513.8418,533.432882,9.795541,553.023964,0.029761,4.708286,1.320434,78.097601
GOOCV VP83T1ZUHROL,5/28/2014,564.415924,564.475762,552.916974,554.502692,1939194,564.415924,511.280964,539.066162,13.892599,566.851361,0.049153,4.919715,1.320434,78.8397
GOOCV VP83T1ZUHROL,5/29/2014,560.167396,566.310807,559.489227,563.199209,1541060,560.167396,511.357902,542.90275,15.772424,574.447598,0.033742,4.581628,1.745287,72.41488
GOOCV VP83T1ZUHROL,5/30/2014,558.49192,562.511067,557.185448,561.962548,1279697,558.49192,513.086628,545.737145,16.325258,578.387662,0.020945,4.581628,1.264585,78.369157
GOOCV VP83T1ZUHROL,5/31/2014,559.459308,559.868204,554.392988,559.429389,1241951,559.459308,517.598039,548.232084,15.317022,578.866128,0.033365,4.678367,0.5924,88.760643
GOOCV VP83T1ZUHROL,6/3/2014,552.258751,559.439362,544.260349,558.641516,1381263,552.258751,523.452976,548.964205,12.755614,574.475433,0.019552,4.615537,1.312456,77.860027
GOOCV VP83T1ZUHROL,6/4/2014,543.332854,550.912387,541.088913,549.03745,1761190,543.332854,526.106459,547.940323,10.916932,569.774187,0.00194,3.794753,2.205046,63.248005
GOOCV VP83T1ZUHROL,6/5/2014,543.023688,547.132593,537.299146,539.872198,1739606,543.023688,529.682743,547.046389,8.681823,564.410036,-0.015456,3.703998,2.235962,62.357287
GOOCV VP83T1ZUHROL,6/6/2014,552.41832,553.45552,542.983796,544.61938,1593096,552.41832,533.310636,548.023104,7.356234,562.735572,0.000475,3.727934,2.235962,62.508361
GOOCV VP83T1ZUHROL,6/7/2014,554.831803,556.666848,547.451732,556.517252,1598035,554.831803,535.92702,549.261049,6.667015,562.595078,0.016456,3.372892,2.235962,60.135135
GOOCV VP83T1ZUHROL,6/10/2014,560.576292,561.38411,554.59245,555.56981,1378921,560.576292,537.575107,551.318366,6.871629,565.061625,0.030245,3.167447,2.235962,58.619417
GOOCV VP83T1ZUHROL,6/11/2014,559.030466,562.122117,556.447441,558.821031,1148345,559.030466,540.138437,552.720566,6.291065,565.302696,0.018761,1.851999,2.390545,43.653032
GOOCV VP83T1ZUHROL,6/12/2014,557.285179,558.372243,553.615089,556.427495,1021679,557.285179,541.388756,553.550496,6.08087,565.712235,0.008545,1.851999,2.140221,46.390207
GOOCV VP83T1ZUHROL,6/13/2014,549.875188,556.497306,546.99297,555.809164,1333486,549.875188,540.875546,552.882258,6.003356,564.888969,-0.00479,1.851999,2.713672,40.563565
GOOCV VP83T1ZUHROL,6/14/2014,550.423706,550.822629,544.110753,550.822629,1126212,550.423706,541.105051,552.435248,5.665099,563.765446,0.006472,1.810112,2.713672,40.013228
GOOCV VP83T1ZUHROL,6/17/2014,542.953877,548.149846,540.061687,547.780843,1555240,542.953877,538.066548,550.711363,6.322408,563.356178,-0.009081,1.810112,2.7406,39.776463
GOOCV VP83T1ZUHROL,6/18/2014,541.537701,543.811561,537.877584,542.734469,1320908,541.537701,535.905647,549.043424,6.568888,562.181201,-0.02229,1.810112,1.989627,47.637795
GOOCV VP83T1ZUHROL,6/19/2014,551.879775,552.089209,542.535008,543.522342,1609737,551.879775,537.603415,549.559124,5.977855,561.514834,-0.006192,2.84432,1.958711,59.219269
GOOCV VP83T1ZUHROL,6/20/2014,553.45552,553.565223,547.082728,552.308617,2310090,553.45552,538.283989,550.26756,5.991786,562.251131,0.016909,2.062431,1.958711,51.289683
GOOCV VP83T1ZUHROL,6/21/2014,555.948787,556.078437,548.977611,554.781938,2306215,555.948787,539.200084,551.30051,6.050213,563.400937,0.039971,2.070409,1.958711,51.386139
GOOCV VP83T1ZUHROL,6/24/2014,563.468482,563.478455,552.80727,553.654981,1268914,563.468482,540.528698,553.512869,6.492085,566.497039,0.05266,2.24793,1.958711,53.437648
GOOCV VP83T1ZUHROL,6/25/2014,563.099478,571.048015,559.489227,563.278994,2076287,563.099478,541.272768,555.255889,6.991561,569.23901,0.031897,2.24793,1.841029,54.97561
GOOCV VP83T1ZUHROL,6/26/2014,576.792503,578.428087,563.677916,564.405951,1854375,576.792503,539.183959,559.171637,9.993839,579.159315,0.050441,3.617232,1.6665,68.459796
GOOCV VP83T1ZUHROL,6/27/2014,574.618374,580.851543,570.359873,579.535098,1659866,574.618374,539.185763,561.980135,11.397186,584.774506,0.033842,3.617232,1.142914,75.989943
GOOCV VP83T1ZUHROL,6/28/2014,575.067162,578.338329,572.254757,575.605708,1376698,575.067162,539.858083,564.359594,12.250756,588.861105,0.047609,3.607259,1.142914,75.939534
GOOCV VP83T1ZUHROL,7/1/2014,574.039936,577.989272,573.202198,577.131588,1089694,574.039936,543.158373,566.119656,11.480641,589.080939,0.036712,3.607259,0.498654,87.855234
GOOCV VP83T1ZUHROL,7/2/2014,581.090897,582.796292,575.097082,576.762584,1336754,581.090897,548.55391,568.8417,10.143895,589.12949,0.05008,4.312355,0.357036,92.353695
GOOCV VP83T1ZUHROL,7/3/2014,580.791705,583.823518,578.82701,581.429981,981788,580.791705,551.934563,571.014428,9.539933,590.094293,0.040262,3.278148,0.386955,89.442177
GOOCV VP83T1ZUHROL,7/4/2014,583.155322,583.434568,579.285771,581.779038,603307,583.155322,556.123288,573.221863,8.549288,590.320439,0.046295,3.356935,0.386955,89.664358
GOOCV VP83T1ZUHROL,7/8/2014,580.572297,584.721094,578.029164,582.517046,972365,580.572297,561.196285,574.558306,6.68101,587.920326,0.036571,3.107609,0.645258,82.806272
GOOCV VP83T1ZUHROL,7/9/2014,569.282782,577.839676,564.645304,575.855035,1756248,569.282782,561.944871,573.59912,5.827124,585.253368,0.019009,2.355639,1.774209,57.039362
GOOCV VP83T1ZUHROL,7/10/2014,574.498697,575.186839,567.916471,569.462297,1055605,574.498697,565.619315,573.762679,4.071682,581.906043,0.029565,2.877231,1.737309,62.351416
GOOCV VP83T1ZUHROL,7/11/2014,569.542082,574.947486,563.478455,564.386004,1281332,569.542082,563.700663,572.995298,4.647318,582.289933,0.016751,1.507928,2.23297,40.309251
GOOCV VP83T1ZUHROL,7/12/2014,577.440753,579.285771,569.811354,569.811354,1550281,577.440753,564.554891,573.803562,4.624336,583.052234,0.032254,2.297795,2.015557,53.271676
GOOCV VP83T1ZUHROL,7/15/2014,583.294945,583.634029,576.473365,581.031058,1760017,583.294945,565.521254,575.529268,5.004007,585.537283,0.049854,2.838336,2.015557,58.475447
GOOCV VP83T1ZUHROL,7/16/2014,583.205187,584.362064,574.997351,584.282279,1445125,583.205187,566.630357,576.92489,5.147266,587.219423,0.035403,2.838336,1.921811,59.627069
GOOCV VP83T1ZUHROL,7/17/2014,580.901408,586.91517,580.592243,586.416516,1238109,580.901408,567.373393,577.647893,5.13725,587.922394,0.023022,2.13324,2.152189,49.778916
GOOCV VP83T1ZUHROL,7/18/2014,572.184945,579.435367,567.018895,577.969326,2434180,572.184945,565.93737,576.65463,5.35863,587.37189,-0.00132,2.13324,2.993916,41.606691
GOOCV VP83T1ZUHROL,7/19/2014,593.337827,595.192818,580.32297,591.413024,3594607,593.337827,565.581037,579.687938,7.053451,593.79484,0.034626,4.012166,2.993916,57.266904
GOOCV VP83T1ZUHROL,7/22/2014,587.802773,592.799281,583.673922,589.817333,1982898,587.802773,565.989706,581.163363,7.586828,596.33702,0.014797,4.012166,3.289118,54.951509
GOOCV VP83T1ZUHROL,7/23/2014,593.108446,598.035143,588.810053,588.810053,1605831,593.108446,567.633596,583.335196,7.8508,599.036797,0.030856,4.542733,2.160167,67.772653
GOOCV VP83T1ZUHROL,7/24/2014,594.375026,596.23999,590.904397,591.861812,968407,594.375026,568.701147,585.342438,8.320646,601.983729,0.04054,4.1478,2.160167,65.754941
GOOCV VP83T1ZUHROL,7/25/2014,591.742135,597.885547,590.176363,594.84376,961182,591.742135,572.149169,586.506019,7.178425,600.862869,0.030928,4.1478,1.927794,68.269862
GOOCV VP83T1ZUHROL,7/26/2014,587.413823,590.266121,585.469074,588.810053,868499,587.413823,573.4153,586.671075,6.627887,599.926849,0.022243,3.357933,2.360626,58.719916
GOOCV VP83T1ZUHROL,7/29/2014,588.89981,590.904397,583.205187,586.486327,918367,588.89981,573.976966,587.076299,6.549667,600.175633,0.031427,2.921112,2.360626,55.305891
GOOCV VP83T1ZUHROL,7/30/2014,584.022979,588.111938,581.938608,587.713015,1169280,584.022979,573.515143,586.52115,6.503003,599.527157,0.019734,2.921112,2.839333,50.709834
GOOCV VP83T1ZUHROL,7/31/2014,585.77824,587.942396,582.427288,584.970421,964707,585.77824,574.039153,586.386075,6.173461,598.732998,0.029381,3.096638,2.608955,54.273728
GOOCV VP83T1ZUHROL,8/1/2014,570.619173,581.868796,568.46499,578.986579,1902321,570.619173,570.367476,583.519366,6.575945,596.671256,0.010358,3.096638,3.253215,48.76708
GOOCV VP83T1ZUHROL,8/2/2014,564.56552,574.329155,561.28438,569.362566,1827935,564.56552,561.594664,580.073212,9.239274,598.55176,-0.007922,0.98135,3.858581,20.276118
GOOCV VP83T1ZUHROL,8/5/2014,571.885753,573.850448,562.730475,567.318087,1281015,571.885753,558.713884,578.584583,9.93535,598.455282,0.004889,1.713373,3.305075,34.141494
GOOCV VP83T1ZUHROL,8/6/2014,563.568213,570.439658,561.094891,569.522135,1469716,563.568213,554.041433,575.854334,10.90645,597.667235,-0.009809,1.182806,4.136829,22.234721
GOOCV VP83T1ZUHROL,8/7/2014,564.784927,569.11324,558.49192,559.88815,1262134,564.784927,552.452045,573.841715,10.694835,595.231385,0.002813,1.17782,4.136829,22.161756
GOOCV VP83T1ZUHROL,8/8/2014,561.982495,568.365259,559.588958,566.70973,1041061,561.982495,550.872497,571.685493,10.406498,592.498489,-0.007598,1.17782,4.153784,22.091283
GOOCV VP83T1ZUHROL,8/9/2014,567.278195,568.714317,558.811058,563.368751,1394847,567.278195,551.681678,570.884166,9.601244,590.086654,0.006351,1.70739,3.720952,31.453243
GOOCV VP83T1ZUHROL,8/12/2014,566.171184,568.95367,564.475762,568.46499,1154924,566.171184,554.10319,570.02726,7.962035,585.95133,-0.005199,1.558791,3.831653,28.917669
GOOCV VP83T1ZUHROL,8/13/2014,561.234514,564.854739,559.359577,564.854739,1431835,561.234514,554.787592,568.428579,6.820494,582.069566,-0.019517,1.558791,3.837637,28.885603
GOOCV VP83T1ZUHROL,8/14/2014,573.232117,573.451525,564.30622,566.370645,1327689,573.232117,561.417511,569.30195,3.942219,577.186388,-0.00624,2.583025,3.837637,40.229885
GOOCV VP83T1ZUHROL,8/15/2014,573.062575,576.243985,569.352593,575.924846,935850,573.062575,561.482611,569.9857,4.251545,578.488789,-0.015599,2.583025,2.338685,52.48227
GOOCV VP83T1ZUHROL,8/16/2014,571.935618,577.779837,568.98359,575.057189,1458248,571.935618,561.462127,570.34023,4.439052,579.218334,-0.030181,2.583025,1.846015,58.320198
GOOCV VP83T1ZUHROL,8/19/2014,580.32297,582.925942,574.558536,575.54587,1167096,580.32297,560.581198,572.155274,5.787038,583.72935,-0.01851,2.689737,1.846015,59.300792
GOOCV VP83T1ZUHROL,8/20/2014,585.419209,585.758293,582.427288,583.185241,841724,585.419209,559.662863,574.566899,7.452018,589.470934,-0.010093,3.199361,1.014261,75.928994
GOOCV VP83T1ZUHROL,8/21/2014,582.905995,585.199801,580.991166,584.082818,962085,582.905995,560.055633,576.083098,8.013733,592.110563,-0.019714,3.077689,1.265583,70.861079
GOOCV VP83T1ZUHROL,8/22/2014,581.878769,583.11543,579.594936,582.297638,809343,581.878769,561.830039,577.136856,7.653409,592.443674,-0.027807,3.077689,1.088062,73.880776
GOOCV VP83T1ZUHROL,8/23/2014,580.931328,583.624056,579.076336,580.831597,710057,580.931328,562.852516,577.82676,7.487122,592.801004,-0.034908,2.548119,1.182806,68.297247
GOOCV VP83T1ZUHROL,8/26/2014,578.817037,583.424595,577.450726,583.145349,1282921,578.817037,564.394208,578.00681,6.806301,591.619413,-0.047737,2.548119,1.283534,66.501822
