symbol,date,close,high,low,open,volume,bollingerbands,lowerband,middleband,standarddeviation,upperband,onbalancevolume,averagegain,averageloss,relativestrengthindex
MSFT R735QTJ8XC9X,10/7/1998,15.61647,16.576204,15.576481,16.395454,18495000,15.61647,15.181234,16.883691,0.851228,18.586147,-0.486567,0.140921,0.32583,30.191912
MSFT R735QTJ8XC9X,10/8/1998,15.066223,15.97637,14.936659,15.576481,22191600,15.066223,14.532471,16.553242,1.010385,18.574013,-0.708483,0.07198,0.380854,15.895443
MSFT R735QTJ8XC9X,10/9/1998,14.586356,14.696725,14.036108,14.485584,36126100,14.586356,13.799947,16.195626,1.19784,18.591306,-1.069744,0.07198,0.374936,16.105941
MSFT R735QTJ8XC9X,10/10/1998,15.496503,15.515698,14.755909,14.906267,17593900,15.496503,13.800296,16.068513,1.134108,18.33673,-0.893805,0.116128,0.374936,23.648208
MSFT R735QTJ8XC9X,10/13/1998,15.945979,16.155521,15.755632,15.875598,12498200,15.945979,13.981964,16.046234,1.032135,18.110504,-0.768823,0.161075,0.346944,31.706549
MSFT R735QTJ8XC9X,10/14/1998,15.43572,15.955576,15.315753,15.915587,11561800,15.43572,14.256588,15.935232,0.839322,17.613875,-0.884441,0.135962,0.39797,25.46435
MSFT R735QTJ8XC9X,10/15/1998,16.016359,16.216304,15.336548,15.336548,14961200,16.016359,14.694344,15.949982,0.627819,17.20562,-0.734829,0.194026,0.353982,35.405721
MSFT R735QTJ8XC9X,10/16/1998,16.865724,16.896115,15.936381,16.016359,15888900,16.865724,14.796774,16.11648,0.659853,17.436187,-0.57594,0.278963,0.258008,51.951147
MSFT R735QTJ8XC9X,10/17/1998,16.804941,17.035277,16.145923,16.976093,16212500,16.804941,14.8804,16.241655,0.680627,17.60291,-0.738065,0.278963,0.264087,51.369661
MSFT R735QTJ8XC9X,10/20/1998,16.435443,16.665779,16.176315,16.656182,14548100,16.435443,14.879726,16.276889,0.698582,17.674052,-0.883546,0.278963,0.25401,52.340936
MSFT R735QTJ8XC9X,10/21/1998,16.045151,16.576204,15.936381,16.515421,22841600,16.045151,14.839753,16.234755,0.697501,17.629757,-1.111962,0.278963,0.236095,54.161491
MSFT R735QTJ8XC9X,10/22/1998,17.025679,17.09606,16.395454,16.776149,29020700,17.025679,14.940325,16.378559,0.719117,17.816794,-0.821755,0.377015,0.18107,67.555173
MSFT R735QTJ8XC9X,10/23/1998,17.585524,17.615916,16.425846,16.955299,20172400,17.585524,15.272461,16.598008,0.662773,17.923554,-0.620031,0.433,0.133083,76.490534
MSFT R735QTJ8XC9X,10/24/1998,16.995288,17.595122,16.795343,17.435166,14596600,16.995288,15.435911,16.67024,0.617165,17.904569,-0.765997,0.341985,0.192107,64.031147
MSFT R735QTJ8XC9X,10/27/1998,17.105657,17.27521,16.905713,17.084863,15448500,17.105657,15.533154,16.749407,0.608127,17.96566,-0.611512,0.308075,0.192107,61.592581
MSFT R735QTJ8XC9X,10/28/1998,16.865724,17.575927,16.395454,17.235221,15757200,16.865724,15.850008,16.770556,0.460274,17.691103,-0.769084,0.308075,0.165074,65.111562
MSFT R735QTJ8XC9X,10/29/1998,16.905713,17.056071,16.776149,16.776149,14831200,16.905713,16.025252,16.79513,0.384939,17.565007,-0.620772,0.25401,0.165074,60.610687
MSFT R735QTJ8XC9X,10/30/1998,17.056071,17.216027,16.865724,16.865724,13275200,17.056071,16.064052,16.842573,0.389261,17.621095,-0.48802,0.184109,0.165074,52.725607
MSFT R735QTJ8XC9X,10/31/1998,16.945702,17.305602,16.816137,17.155243,14656800,16.945702,16.083833,16.861324,0.388746,17.638815,-0.634588,0.184109,0.170033,51.987353
MSFT R735QTJ8XC9X,11/3/1998,16.924907,17.09606,16.795343,17.016082,11651000,16.924907,16.158626,16.872885,0.357129,17.587143,-0.751098,0.184109,0.135163,57.665331
MSFT R735QTJ8XC9X,11/4/1998,16.835332,17.044874,16.755354,16.875321,8837500,16.835332,16.458911,16.866057,0.203573,17.273202,-0.839473,0.184109,0.105091,63.661504
MSFT R735QTJ8XC9X,11/5/1998,16.875321,17.164841,16.73616,16.924907,16366400,16.875321,16.450882,16.867741,0.20843,17.2846,-0.675809,0.090055,0.105091,46.147541
MSFT R735QTJ8XC9X,11/6/1998,17.016082,17.216027,16.835332,16.84493,19000300,17.016082,16.727059,16.894712,0.083827,17.062366,-0.485806,0.048147,0.105091,31.419624
MSFT R735QTJ8XC9X,11/7/1998,17.495949,17.555133,16.812938,16.964896,18565000,17.495949,16.63599,17.004028,0.184019,17.372066,-0.300156,0.096133,0.046067,67.604049
MSFT R735QTJ8XC9X,11/10/1998,17.684697,18.10538,13.756186,13.756186,17028600,17.684697,16.576539,17.127786,0.275623,17.679033,-0.12987,0.103971,0.046067,69.296375
MSFT R735QTJ8XC9X,11/11/1998,17.92463,18.154966,17.256016,17.615916,17745400,17.92463,16.536126,17.272667,0.368271,18.009208,0.047584,0.127965,0.022074,85.287846
MSFT R735QTJ8XC9X,11/12/1998,17.755077,18.354911,17.735882,18.145369,15232000,17.755077,16.569782,17.360378,0.395298,18.150974,-0.104736,0.123966,0.039029,76.054956
MSFT R735QTJ8XC9X,11/13/1998,17.404774,17.775871,17.355188,17.63511,9273500,17.404774,16.584656,17.36845,0.391897,18.152244,-0.197471,0.10893,0.074059,59.527972
MSFT R735QTJ8XC9X,11/14/1998,17.595122,17.675099,17.335993,17.345591,6547100,17.595122,16.642046,17.409663,0.383808,18.17728,-0.132,0.127965,0.063023,67.001675
MSFT R735QTJ8XC9X,11/17/1998,17.415971,17.875044,17.195232,17.804663,10367600,17.415971,16.69766,17.41081,0.356575,18.123959,-0.235676,0.127965,0.078858,61.871616
