symbol,time,close,high,low,open,volume,bollingerbands,lowerband,middleband,standarddeviation,upperband,onbalancevolume,averagegain,averageloss,relativestrengthindex
NFLX SEWJWLJNHZDX,6/8/2002,1.118572,1.177858,1.103572,1.177858,103100,1.118572,1.058074,1.141718,0.041822,1.225363,0.069742,0.012786,0.021286,37.526205
NFLX SEWJWLJNHZDX,6/11/2002,1.156429,1.175,1.135,1.135,34500,1.156429,1.07618,1.144393,0.034106,1.212606,0.070087,0.015929,0.021286,42.802303
NFLX SEWJWLJNHZDX,6/12/2002,1.153572,1.188572,1.128572,1.156429,70900,1.153572,1.078474,1.146062,0.033794,1.21365,0.069378,0.015929,0.016286,49.445676
NFLX SEWJWLJNHZDX,6/13/2002,1.092858,1.182143,1.089286,1.153572,128200,1.092858,1.067125,1.136388,0.034632,1.205652,0.068096,0.015929,0.017,48.373102
NFLX SEWJWLJNHZDX,6/14/2002,1.082858,1.122143,1.08,1.104286,133400,1.082858,1.060626,1.126656,0.033015,1.192685,0.066762,0.015929,0.014786,51.860465
NFLX SEWJWLJNHZDX,6/15/2002,0.986429,1.085715,0.98,1.082143,336300,0.986429,0.99728,1.10116,0.05194,1.20504,0.063399,0.0155,0.024429,38.81932
NFLX SEWJWLJNHZDX,6/18/2002,0.922143,1.059286,0.917858,1.013572,339600,0.922143,0.913171,1.068611,0.07772,1.224052,0.060003,0.010214,0.030857,24.869565
NFLX SEWJWLJNHZDX,6/19/2002,0.910715,0.939286,0.839286,0.938572,790000,0.910715,0.850201,1.039903,0.094851,1.229604,0.052103,0.010214,0.030929,24.826389
NFLX SEWJWLJNHZDX,6/20/2002,0.964286,0.996429,0.892858,0.911429,391100,0.964286,0.832474,1.026154,0.09684,1.219835,0.056014,0.012643,0.030929,29.016393
NFLX SEWJWLJNHZDX,6/21/2002,0.957143,1.04,0.95,0.971429,437100,0.957143,0.831367,1.013607,0.09112,1.195847,0.051643,0.009143,0.031643,22.416813
NFLX SEWJWLJNHZDX,6/22/2002,0.979286,0.989286,0.947858,0.982143,155100,0.979286,0.831789,1.007367,0.087789,1.182945,0.053194,0.011357,0.025286,30.994152
NFLX SEWJWLJNHZDX,6/25/2002,0.978572,1.014286,0.957143,0.979286,182400,0.978572,0.850853,1.002131,0.075639,1.15341,0.05137,0.007571,0.025357,22.993492
NFLX SEWJWLJNHZDX,6/26/2002,0.964286,1.007143,0.947143,0.988572,276300,0.964286,0.881451,0.99525,0.0569,1.10905,0.048607,0.007571,0.0265,22.222222
NFLX SEWJWLJNHZDX,6/27/2002,0.988572,0.996429,0.921429,0.963572,206500,0.988572,0.905878,0.994036,0.044079,1.082194,0.050672,0.01,0.020429,32.86385
NFLX SEWJWLJNHZDX,6/28/2002,0.943572,1.018572,0.943572,1.009286,273400,0.943572,0.93424,0.984861,0.02531,1.035482,0.047938,0.01,0.023929,29.473684
NFLX SEWJWLJNHZDX,6/29/2002,0.999286,1.013572,0.960715,0.960715,526300,0.999286,0.933642,0.987484,0.026921,1.041326,0.053201,0.015571,0.014286,52.15311
NFLX SEWJWLJNHZDX,7/2/2002,1.027858,1.046429,0.992858,1,312200,1.027858,0.934375,0.994824,0.030224,1.055273,0.056323,0.018429,0.007857,70.108696
NFLX SEWJWLJNHZDX,7/3/2002,1.172858,1.195715,1.039286,1.053572,630200,1.172858,0.901993,1.027194,0.0626,1.152395,0.062625,0.032929,0.006714,83.063063
NFLX SEWJWLJNHZDX,7/4/2002,1.214286,1.214286,1.117858,1.178572,343700,1.214286,0.883677,1.061211,0.088767,1.238744,0.066062,0.031714,0.006714,82.527881
NFLX SEWJWLJNHZDX,7/6/2002,1.275001,1.299286,1.213572,1.214286,143600,1.275001,0.873692,1.100082,0.113195,1.326472,0.067498,0.037786,0.006,86.2969
NFLX SEWJWLJNHZDX,7/9/2002,1.175715,1.252143,1.167858,1.252143,181900,1.175715,0.882866,1.113833,0.115484,1.3448,0.065679,0.035571,0.015929,69.070735
NFLX SEWJWLJNHZDX,7/10/2002,1.160715,1.196429,1.114286,1.175,219000,1.160715,0.895677,1.122357,0.11334,1.349037,0.063489,0.035571,0.017357,67.206478
NFLX SEWJWLJNHZDX,7/11/2002,1.163572,1.178572,1.132143,1.161429,90600,1.163572,0.917046,1.129851,0.106402,1.342655,0.064395,0.035857,0.015929,69.241379
NFLX SEWJWLJNHZDX,7/12/2002,1.269286,1.278572,1.132858,1.154286,179100,1.269286,0.940952,1.155203,0.107125,1.369453,0.066186,0.044,0.015929,73.420739
NFLX SEWJWLJNHZDX,7/13/2002,1.207858,1.280001,1.207143,1.278572,189100,1.207858,0.993101,1.164776,0.085837,1.336451,0.064295,0.044,0.017571,71.461717
NFLX SEWJWLJNHZDX,7/16/2002,1.160715,1.248572,1.076429,1.242858,299900,1.160715,1.032734,1.164038,0.065652,1.295341,0.061296,0.038429,0.022286,63.294118
NFLX SEWJWLJNHZDX,7/17/2002,1.126429,1.157143,1.104286,1.152858,143600,1.126429,1.064889,1.1572,0.046155,1.24951,0.05986,0.035571,0.025714,58.041958
NFLX SEWJWLJNHZDX,7/18/2002,1.089286,1.163572,1.075715,1.145,81400,1.089286,1.033684,1.144852,0.055584,1.25602,0.059046,0.021071,0.029429,41.725601
NFLX SEWJWLJNHZDX,7/19/2002,1.149286,1.166429,1.110715,1.117143,205800,1.149286,1.034665,1.145658,0.055496,1.256651,0.061104,0.022929,0.029429,43.792633
NFLX SEWJWLJNHZDX,7/20/2002,1.160715,1.160715,1.122143,1.152858,100500,1.160715,1.058211,1.148396,0.045092,1.23858,0.062109,0.018,0.029429,37.951807
