symbol,date,close,high,low,open,volume,BB,lowerband,middleband,standarddeviation,upperband,OBV,averagegain,averageloss,RSI,AD,ADX,negativedirectionalindex,positivedirectionalindex,aroonoscillator,exponentialmovingaverage,fast,histogram,MACD,signal,slow,rollingsum,SMA,MFI
SPY R735QTJ8XC9X,12/15/1998,76.766192,78.0672,76.390643,77.899544,9276400,76.766192,76.51777,78.441372,0.961801,80.364973,8.35E+07,0.380914,0.529792,4.18E+01,2.42E+07,NaN,20.497042,22.809851,-28.571429,77.05961,78.415983,-0.401208,0.81281,1.214017,77.603174,1645.829063,78.372813,1.60E-27
SPY R735QTJ8XC9X,12/16/1998,78.214737,78.295212,76.806429,76.913729,9482100,78.214737,76.469515,78.400165,0.965325,80.330816,9.29E+07,0.450659,0.529792,4.60E+01,3.26E+07,2.23E+01,20.088812,22.903984,-28.571429,77.134134,78.385022,-0.384875,0.732924,1.117798,77.652099,1648.417667,78.496079,2.45E+01
SPY R735QTJ8XC9X,12/17/1998,78.0672,78.550049,77.624589,78.550049,7183500,78.0672,76.387211,78.339626,0.976208,80.292041,8.57E+07,0.450659,0.523756,4.62E+01,3.23E+07,2.18E+01,19.464031,24.260224,-28.571429,77.194332,78.336127,-0.373583,0.65082,1.024403,77.685307,1650.141168,78.578151,4.12E+01
SPY R735QTJ8XC9X,12/18/1998,79.468802,79.509039,78.47628,78.610405,6720200,79.468802,76.710925,78.544931,0.917003,80.378937,9.25E+07,0.590819,0.374878,6.12E+01,3.85E+07,2.14E+01,19.105467,25.231527,-28.571429,77.341072,78.510384,-0.273604,0.682398,0.956002,77.827986,1652.930959,78.710998,5.68E+01
SPY R735QTJ8XC9X,12/19/1998,80.082524,80.156537,79.315475,79.604801,4027900,80.082524,76.82992,78.824493,0.997287,80.819067,9.65E+07,0.471793,0.374878,5.57E+01,4.18E+07,21.19144,18.44736,27.615635,-28.571429,77.51794,78.752252,-0.169679,0.743902,0.913582,78.008349,1656.059516,78.859977,7.51E+01
SPY R735QTJ8XC9X,12/22/1998,80.950499,81.643534,80.069067,80.237279,8465700,80.950499,76.930964,79.21104,1.140038,81.491116,1.05E+08,0.472751,0.374878,5.58E+01,4.28E+07,2.11E+01,17.894196,26.787549,35.714286,77.739395,79.090444,-0.053488,0.846722,0.90021,78.243721,1659.553082,79.026337,1.00E+02
SPY R735QTJ8XC9X,12/23/1998,81.098526,81.562792,80.196908,81.017784,5581100,81.098526,76.939831,79.554219,1.307194,82.168607,1.11E+08,0.487554,0.32257,6.02E+01,4.46E+07,2.11E+01,17.195259,28.633989,35.714286,77.956114,79.39938,0.021651,0.927274,0.905623,78.472106,1662.436871,79.163661,1.00E+02
SPY R735QTJ8XC9X,12/24/1998,82.632623,82.888305,81.286924,81.542607,7558200,82.632623,76.751557,80.113929,1.681186,83.476301,1.18E+08,0.618162,0.32257,6.57E+01,4.98E+07,2.12E+01,16.787253,28.97783,50,78.257824,79.896802,0.148985,1.091854,0.942869,78.804947,1665.158081,79.293242,1.00E+02
SPY R735QTJ8XC9X,12/25/1998,82.551881,83.352571,82.276012,82.86812,1557500,82.551881,76.805595,80.557193,1.875799,84.308791,1.17E+08,0.618162,0.196519,7.59E+01,4.90E+07,21.415503,16.877618,28.406933,57.142857,78.53486,80.305275,0.206163,1.200573,0.99441,79.104702,1668.113741,79.433988,1.00E+02
SPY R735QTJ8XC9X,12/29/1998,82.51151,82.969047,82.087615,82.928676,4031000,82.51151,76.963832,80.912523,1.974345,84.861214,1.13E+08,0.601397,0.200556,7.50E+01,4.89E+07,2.16E+01,16.29211,29.118482,57.142857,78.791418,80.644696,0.218432,1.267449,1.049018,79.377246,1670.901612,79.566743,8.50E+01
