symbol,time,close,high,low,open,volume,bollingerbands,lowerband,middleband,standarddeviation,upperband,onbalancevolume,averagegain,averageloss,relativestrengthindex
SPY R735QTJ8XC9X,10/6/1998,66.391657,67.06228,64.607801,66.787325,12408900,66.391657,64.696963,68.180001,1.741519,71.663039,0.076578,0.453341,0.66727,40.454817
SPY R735QTJ8XC9X,10/7/1998,66.076464,67.920677,65.405842,67.565247,12216900,66.076464,63.920008,67.79754,1.938766,71.675072,-0.045591,0.399021,0.698789,36.346976
SPY R735QTJ8XC9X,10/8/1998,65.197949,67.082399,64.212133,66.143527,13942400,65.197949,63.468587,67.324887,1.92815,71.181187,-0.185015,0.155584,0.786641,16.512456
SPY R735QTJ8XC9X,10/9/1998,64.527326,64.882756,61.844835,63.414092,20019400,64.527326,62.702812,66.816239,2.056714,70.929667,-0.385209,0.155584,0.702813,18.125
SPY R735QTJ8XC9X,10/10/1998,66.143527,66.767206,63.078781,65.050412,11865900,66.143527,62.878571,66.693928,1.907679,70.509285,-0.26655,0.317205,0.697448,31.262393
SPY R735QTJ8XC9X,10/13/1998,66.914743,68.027977,66.854387,67.484772,9127600,66.914743,63.603935,66.734076,1.56507,69.864217,-0.175274,0.353418,0.697448,33.631142
SPY R735QTJ8XC9X,10/14/1998,66.747087,67.337235,66.224001,66.767206,5916200,66.747087,64.744663,66.736442,0.995889,68.72822,-0.234436,0.351406,0.714213,32.976715
SPY R735QTJ8XC9X,10/15/1998,67.397591,68.276107,66.284358,66.35142,8056200,67.397591,65.161439,66.856651,0.847606,68.551863,-0.153874,0.416457,0.50632,45.130814
SPY R735QTJ8XC9X,10/16/1998,70.435513,71.924295,67.022043,67.149461,19735400,70.435513,64.501806,67.507353,1.502774,70.5129,0.04348,0.720249,0.29105,71.220159
SPY R735QTJ8XC9X,10/17/1998,70.858005,71.588984,70.415394,71.173198,16305900,70.858005,64.208278,68.116562,1.954142,72.024847,0.206539,0.649833,0.29105,69.066287
SPY R735QTJ8XC9X,10/20/1998,71.314029,71.629221,70.750705,70.878124,7627400,71.314029,64.079463,68.69792,2.309228,73.316377,0.282813,0.695436,0.203199,77.38806
SPY R735QTJ8XC9X,10/21/1998,71.421328,72.963761,71.146373,72.132188,14236900,71.421328,64.166575,69.193085,2.513255,74.219595,0.425182,0.706166,0.171679,80.443086
SPY R735QTJ8XC9X,10/22/1998,71.843821,72.179132,71.005542,71.676165,8997900,71.843821,64.599643,69.675037,2.537697,74.750431,0.515161,0.748415,0.083828,89.927478
SPY R735QTJ8XC9X,10/23/1998,72.427262,72.742455,71.193316,71.609103,8012900,72.427262,65.541361,70.175442,2.31704,74.809522,0.59529,0.806759,0.016766,97.964169
SPY R735QTJ8XC9X,10/24/1998,71.843821,72.427262,71.609103,72.407144,6188800,71.843821,66.279181,70.478783,2.099801,74.678386,0.533402,0.645139,0.07511,89.571695
SPY R735QTJ8XC9X,10/27/1998,72.125482,72.802811,71.609103,72.239488,5654900,72.125482,67.030041,70.778183,1.874071,74.526325,0.589951,0.596184,0.07511,88.811189
SPY R735QTJ8XC9X,10/28/1998,71.508509,73.077767,71.273791,72.722336,9865800,71.508509,68.195048,70.91097,1.357961,73.626891,0.491293,0.596184,0.120041,83.2397
SPY R735QTJ8XC9X,10/29/1998,71.609103,72.299844,71.106135,71.461566,5499700,71.609103,69.929653,71.037903,0.554125,72.146152,0.54629,0.541193,0.120041,81.845842
SPY R735QTJ8XC9X,10/30/1998,73.077767,73.077767,71.508509,71.816996,8847200,73.077767,70.221494,71.408787,0.593647,72.59608,0.634762,0.384267,0.120041,76.196809
SPY R735QTJ8XC9X,10/31/1998,73.768508,74.378775,73.433197,73.855689,9498800,73.768508,70.334794,71.837827,0.751517,73.340861,0.72975,0.411092,0.120041,77.39899
SPY R735QTJ8XC9X,11/3/1998,74.76103,74.942098,73.895926,74.311712,6351000,74.76103,70.275084,72.369319,1.047117,74.463553,0.79326,0.464742,0.120041,79.472477
SPY R735QTJ8XC9X,11/4/1998,74.526312,74.982335,74.271475,74.834798,6573900,74.526312,70.452928,72.761499,1.154286,75.070071,0.727521,0.454012,0.143513,75.982043
SPY R735QTJ8XC9X,11/5/1998,75.002454,75.840732,74.499487,75.424946,7788100,75.002454,70.593388,73.168946,1.287779,75.744503,0.805402,0.459377,0.143513,76.195773
SPY R735QTJ8XC9X,11/6/1998,76.269931,76.323581,74.526312,74.794561,6686200,76.269931,70.572266,73.732761,1.580247,76.893256,0.872264,0.52778,0.143513,78.621379
SPY R735QTJ8XC9X,11/7/1998,76.638774,76.786311,75.988269,76.095569,5136100,76.638774,70.781591,74.261127,1.739768,77.740663,0.923625,0.564664,0.085169,86.893705
SPY R735QTJ8XC9X,11/10/1998,75.874264,76.618655,75.445065,76.410762,5908800,75.874264,71.125398,74.554425,1.714513,77.983451,0.864537,0.536498,0.16162,76.849183
SPY R735QTJ8XC9X,11/11/1998,75.572483,76.410762,75.445065,75.780376,9142100,75.572483,71.804158,74.739526,1.467684,77.674895,0.773116,0.536498,0.130101,80.482897
SPY R735QTJ8XC9X,11/12/1998,75.36459,76.491237,75.035985,76.323581,10735000,75.36459,72.760993,74.853174,1.046091,76.945356,0.665766,0.526439,0.15089,77.722772
SPY R735QTJ8XC9X,11/13/1998,75.129872,75.867557,74.901861,75.317647,5396300,75.129872,73.291966,74.903483,0.805758,76.514999,0.611803,0.379573,0.174362,68.523002
SPY R735QTJ8XC9X,11/14/1998,75.626133,75.820614,75.196935,75.257291,5531900,75.626133,73.779106,75.034874,0.627884,76.290642,0.667122,0.360124,0.174362,67.377666
SPY R735QTJ8XC9X,11/17/1998,76.3437,76.692423,75.706608,76.598536,5934200,76.3437,74.018766,75.272842,0.627038,76.526918,0.726464,0.332629,0.174362,65.608466
SPY R735QTJ8XC9X,11/18/1998,76.679011,77.544114,75.780376,76.222987,8944500,76.679011,74.374427,75.528509,0.577041,76.682592,0.815909,0.36616,0.15089,70.817121
SPY R735QTJ8XC9X,11/19/1998,76.953966,77.081385,76.115688,76.658892,4538000,76.953966,74.613143,75.787683,0.58727,76.962223,0.861289,0.346041,0.15089,69.635628
SPY R735QTJ8XC9X,11/20/1998,77.456933,77.731889,76.873492,77.309396,5115600,77.456933,74.642007,76.091183,0.724588,77.540359,0.912445,0.26959,0.15089,64.114833
SPY R735QTJ8XC9X,11/21/1998,78.214737,78.295212,77.684945,78.033669,5351500,78.214737,74.581804,76.477284,0.94774,78.372764,0.96596,0.308486,0.15089,67.153285
SPY R735QTJ8XC9X,11/24/1998,79.911413,79.95165,78.570167,78.77806,6442400,79.911413,74.270477,77.101671,1.415597,79.932865,1.030384,0.478154,0.074439,86.529126
SPY R735QTJ8XC9X,11/25/1998,79.59622,80.246724,79.435271,79.804113,5121600,79.59622,74.37193,77.555225,1.591648,80.738521,0.979168,0.478154,0.07578,86.319613
SPY R735QTJ8XC9X,11/26/1998,79.723638,79.931532,79.24079,79.763876,4268500,79.723638,74.659254,77.949482,1.645114,81.239711,1.021853,0.490896,0.054991,89.92629
SPY R735QTJ8XC9X,11/28/1998,80.139425,80.286962,79.804113,80.119306,4562000,80.139425,75.168555,78.347654,1.589549,81.526752,1.067473,0.532475,0.031519,94.411415
SPY R735QTJ8XC9X,12/1/1998,78.254975,80.05895,78.234856,79.817526,7991700,78.254975,75.598321,78.330803,1.366241,81.063285,0.987556,0.482848,0.219964,68.70229
SPY R735QTJ8XC9X,12/2/1998,79.006072,79.153609,77.269159,77.879426,8773600,79.006072,76.046686,78.453579,1.203447,80.860472,1.075292,0.486202,0.219964,68.850902
SPY R735QTJ8XC9X,12/3/1998,78.798179,79.073134,77.792245,78.610405,7322100,78.798179,76.475667,78.516234,1.020284,80.556801,1.002071,0.45267,0.240754,65.280464
SPY R735QTJ8XC9X,12/4/1998,77.309396,79.341383,77.24904,78.630523,11737800,77.309396,76.377719,78.296809,0.959545,80.215898,0.884693,0.425175,0.389632,52.18107
SPY R735QTJ8XC9X,12/5/1998,79.113372,79.723638,77.517289,78.214737,10616800,79.113372,76.761101,78.445275,0.842087,80.129448,0.990861,0.555276,0.389632,58.765082
SPY R735QTJ8XC9X,12/8/1998,79.971769,80.159543,79.13349,79.173728,4105700,79.971769,77.039205,78.722819,0.841807,80.406433,1.031918,0.565335,0.389632,59.199438
SPY R735QTJ8XC9X,12/9/1998,79.448683,80.30708,78.798179,79.48892,9996400,79.448683,77.229437,78.854794,0.812679,80.480152,0.931954,0.395667,0.44194,47.23779
SPY R735QTJ8XC9X,12/10/1998,79.676695,79.783995,79.053016,79.59622,5259600,79.676695,77.369075,79.004231,0.817578,80.639387,0.98455,0.418469,0.410421,50.485437
SPY R735QTJ8XC9X,12/11/1998,78.335449,79.696814,78.275093,79.696814,5844400,78.335449,77.232178,78.882634,0.825228,80.533091,0.926106,0.405727,0.544546,42.695836
SPY R735QTJ8XC9X,12/12/1998,78.503105,78.690879,77.497171,78.087319,8669100,78.503105,77.329236,78.813629,0.742196,80.298022,1.012797,0.380914,0.544546,41.15942
SPY R735QTJ8XC9X,12/15/1998,76.766192,78.0672,76.390643,77.899544,9276400,76.766192,76.517767,78.441368,0.961801,80.364969,0.920033,0.380914,0.529792,41.826215
SPY R735QTJ8XC9X,12/16/1998,78.214737,78.295212,76.806429,76.913729,9482100,78.214737,76.469511,78.400162,0.965325,80.330813,1.014854,0.450659,0.529792,45.964432
SPY R735QTJ8XC9X,12/17/1998,78.0672,78.550049,77.624589,78.550049,7183500,78.0672,76.387208,78.339624,0.976208,80.292039,0.943019,0.450659,0.523756,46.24914
SPY R735QTJ8XC9X,12/18/1998,79.468802,79.509039,78.47628,78.610405,6720200,79.468802,76.710923,78.544929,0.917003,80.378935,1.010221,0.590819,0.374878,61.180556
SPY R735QTJ8XC9X,12/19/1998,80.082524,80.156537,79.315475,79.604801,4027900,80.082524,76.829918,78.824491,0.997287,80.819065,1.0505,0.471793,0.374878,55.723306
SPY R735QTJ8XC9X,12/22/1998,80.950499,81.643534,80.069067,80.237279,8465700,80.950499,76.930962,79.211038,1.140038,81.491114,1.135157,0.472751,0.374878,55.77334
SPY R735QTJ8XC9X,12/23/1998,81.098526,81.562792,80.196908,81.017784,5581100,81.098526,76.93983,79.554218,1.307194,82.168606,1.190968,0.487554,0.32257,60.182664
SPY R735QTJ8XC9X,12/24/1998,82.632623,82.888305,81.286924,81.542607,7558200,82.632623,76.751556,80.113928,1.681186,83.4763,1.26655,0.618162,0.32257,65.710787
SPY R735QTJ8XC9X,12/25/1998,82.551881,83.352571,82.276012,82.86812,1557500,82.551881,76.805594,80.557192,1.875799,84.30879,1.250975,0.618162,0.196519,75.877789
SPY R735QTJ8XC9X,12/29/1998,82.51151,82.969047,82.087615,82.928676,4031000,82.51151,76.963832,80.912522,1.974345,84.861213,1.210665,0.601397,0.200556,74.991517
SPY R735QTJ8XC9X,12/30/1998,83.641896,83.729367,82.175085,82.572066,3747300,83.641896,77.729927,81.408772,1.839423,85.087617,1.248138,0.714435,0.026865,96.375965
SPY R735QTJ8XC9X,12/31/1998,83.016147,83.93795,82.780649,83.392942,6962800,83.016147,78.319579,81.701022,1.690721,85.082465,1.17851,0.569581,0.08944,86.428355
SPY R735QTJ8XC9X,1/1/1999,82.679722,83.392942,82.403854,82.969047,6480500,82.679722,79.273738,81.878968,1.302615,84.484197,1.113705,0.569581,0.108329,84.020181
SPY R735QTJ8XC9X,1/5/1999,82.679722,84.254189,81.899217,83.016147,9480700,82.679722,79.939445,82.024559,1.042557,84.109673,1.113705,0.429421,0.108329,79.855167
SPY R735QTJ8XC9X,1/6/1999,83.729367,84.025421,82.720093,82.720093,7840800,83.729367,80.601599,82.334524,0.866463,84.06745,1.192113,0.473013,0.108329,81.365741
SPY R735QTJ8XC9X,1/7/1999,85.788286,85.875756,84.610799,84.65117,7648500,85.788286,80.673106,82.962481,1.144688,85.251856,1.268598,0.592107,0.108329,84.534102
SPY R735QTJ8XC9X,1/8/1999,85.41149,85.599888,84.630985,85.034695,5364300,85.41149,81.113569,83.407755,1.147093,85.701942,1.214955,0.577305,0.146008,79.813953
SPY R735QTJ8XC9X,1/9/1999,85.788286,86.461135,84.758826,86.252552,6076900,85.788286,81.242745,83.840579,1.298917,86.438414,1.275724,0.461575,0.146008,75.968992
SPY R735QTJ8XC9X,1/12/1999,84.96741,85.916127,84.254189,85.916127,7455600,84.96741,81.500591,84.045457,1.272433,86.590324,1.201168,0.461575,0.220022,67.719645
SPY R735QTJ8XC9X,1/13/1999,83.433313,84.927039,83.305472,84.927039,7434300,83.433313,81.553234,83.934158,1.190462,86.315083,1.126825,0.461575,0.369394,55.546559
SPY R735QTJ8XC9X,1/14/1999,82.969047,84.193633,80.997599,81.017784,10563100,82.969047,81.291769,83.758684,1.233458,86.225599,1.021194,0.348536,0.415821,45.598592
SPY R735QTJ8XC9X,1/15/1999,81.522421,83.372757,81.354209,83.184359,11370000,81.522421,80.502547,83.35209,1.424772,86.201634,0.907494,0.348536,0.497908,41.176471
SPY R735QTJ8XC9X,1/16/1999,83.641896,83.958136,82.1078,82.343297,7757900,83.641896,80.663202,83.404782,1.37079,86.146363,0.985073,0.560483,0.464266,54.694682
SPY R735QTJ8XC9X,1/20/1999,84.29456,85.7681,83.096889,84.308017,6270400,84.29456,80.966889,83.56656,1.299835,86.166231,1.047777,0.62575,0.464266,57.407407
SPY R735QTJ8XC9X,1/21/1999,84.530058,86.084339,84.126348,84.839568,6222800,84.530058,81.150082,83.741742,1.29583,86.333401,1.110005,0.544335,0.464266,53.969313
SPY R735QTJ8XC9X,1/22/1999,83.157445,84.671356,82.908491,84.496415,6408000,83.157445,81.198595,83.635506,1.218456,86.072417,1.045925,0.338443,0.601527,36.005727
SPY R735QTJ8XC9X,1/23/1999,82.46441,83.325657,81.939588,82.175085,7249900,82.46441,81.04131,83.422579,1.190635,85.803848,0.973426,0.338443,0.633151,34.833795
SPY R735QTJ8XC9X,1/26/1999,83.184359,83.433313,82.027058,82.948862,5008100,83.184359,81.452338,83.379267,0.963464,85.306195,1.023507,0.372759,0.633151,37.056856
SPY R735QTJ8XC9X,1/27/1999,84.442587,84.590614,83.184359,83.520784,5893300,84.442587,81.794665,83.572598,0.888966,85.35053,1.08244,0.498581,0.551064,47.5
SPY R735QTJ8XC9X,1/28/1999,83.749552,85.202907,83.709181,85.034695,7089500,83.749552,81.811846,83.604771,0.896463,85.397696,1.011545,0.498581,0.466957,51.637631
SPY R735QTJ8XC9X,1/29/1999,85.223092,85.431676,84.234004,84.274375,5763500,85.223092,81.831548,83.899011,1.033732,85.966474,1.06918,0.645935,0.420531,60.567823
SPY R735QTJ8XC9X,1/30/1999,86.043968,86.326565,84.382031,85.68063,5990400,86.043968,82.278236,84.289004,1.005384,86.299771,1.129084,0.728023,0.275868,72.520107
SPY R735QTJ8XC9X,2/2/1999,85.512418,86.588976,85.451861,86.588976,9098500,85.512418,82.353348,84.511442,1.079047,86.669537,1.038099,0.516075,0.329023,61.066879
SPY R735QTJ8XC9X,2/3/1999,84.96741,85.599888,83.951407,85.505689,9197400,84.96741,82.394612,84.594346,1.099867,86.794079,0.946125,0.450809,0.383524,54.032258
SPY R735QTJ8XC9X,2/4/1999,85.579702,86.084339,84.550243,84.570429,10155700,85.579702,82.448523,84.773501,1.162489,87.09848,1.047682,0.488489,0.383524,56.018519
SPY R735QTJ8XC9X,2/5/1999,83.998507,85.788286,83.978321,85.707544,6727600,83.998507,82.441186,84.632593,1.095704,86.824001,0.980406,0.488489,0.404382,54.709872
SPY R735QTJ8XC9X,2/6/1999,83.433313,84.550243,82.908491,84.550243,7444000,83.433313,82.530524,84.414542,0.942009,86.298561,0.905966,0.488489,0.391598,55.504587
SPY R735QTJ8XC9X,2/9/1999,83.688996,84.166719,82.989233,84.166719,8364900,83.688996,82.532125,84.282625,0.87525,86.033124,0.989615,0.442062,0.391598,53.026634
SPY R735QTJ8XC9X,2/10/1999,81.993416,83.769738,81.791561,83.688996,8502300,81.993416,81.487872,83.866405,1.189267,86.244938,0.904592,0.316239,0.561156,36.042945
SPY R735QTJ8XC9X,2/11/1999,82.551881,82.760464,81.636806,82.175085,6492100,82.551881,81.016793,83.627401,1.305304,86.238008,0.969513,0.372086,0.491853,43.068536
SPY R735QTJ8XC9X,2/12/1999,84.570429,84.570429,82.424039,82.800835,8880800,84.570429,81.252046,83.79886,1.273407,86.345674,1.058321,0.426586,0.491853,46.446886
SPY R735QTJ8XC9X,2/13/1999,83.096889,84.442587,82.51151,83.978321,10496300,83.096889,81.359157,83.671229,1.156036,85.983301,0.953358,0.344499,0.639207,35.02052
