symbol,time,volume,bollingerbands,lowerband,middleband,standarddeviation,upperband,onbalancevolume,averagegain,averageloss,relativestrengthindex
SPY R735QTJ8XC9X,2/5/2019,49453747,264.226811,253.8206,260.072461,3.125931,266.324323,3.660811,1.11325,0.571196,66.089965
SPY R735QTJ8XC9X,2/6/2019,63632070,265.382803,254.026362,261.037978,3.505808,268.049594,4.297132,1.228849,0.23217,84.109043
SPY R735QTJ8XC9X,2/7/2019,45222377,264.955378,254.594749,261.750233,3.577742,268.905716,3.844908,1.191935,0.274912,81.258278
SPY R735QTJ8XC9X,2/8/2019,86019041,262.468537,255.318119,261.880833,3.281357,268.443547,2.984718,1.161821,0.523597,68.933718
SPY R735QTJ8XC9X,2/9/2019,65405543,262.75025,255.737636,262.038909,3.150636,268.340182,3.638773,0.976279,0.523597,65.090674
SPY R735QTJ8XC9X,2/12/2019,58736757,262.915391,257.006371,262.198269,2.595949,267.390168,4.226141,0.992793,0.326398,75.257732
SPY R735QTJ8XC9X,2/13/2019,61888254,266.286226,259.398294,262.941534,1.77162,266.484775,4.845023,1.329877,0.291427,82.025165
SPY R735QTJ8XC9X,2/14/2019,56508992,267.121649,260.301744,263.701555,1.699906,267.101367,5.410113,1.009308,0.291427,77.59522
SPY R735QTJ8XC9X,2/15/2019,74271920,266.538796,260.779189,264.217417,1.719114,267.655645,4.667394,0.78588,0.349712,69.204448
SPY R735QTJ8XC9X,2/16/2019,77446692,269.462776,260.949411,265.171119,2.110854,269.392826,5.441861,1.059822,0.349712,75.189524
SPY R735QTJ8XC9X,2/20/2019,51251395,269.90963,261.03516,266.032666,2.498753,271.030172,5.954375,0.917994,0.349712,72.413793
SPY R735QTJ8XC9X,2/21/2019,66438109,270.48277,261.121507,266.841776,2.860135,272.562046,6.618756,0.859709,0.349712,71.084337
SPY R735QTJ8XC9X,2/22/2019,54076347,269.530776,261.382927,267.330685,2.973879,273.278443,6.077993,0.859709,0.402169,68.12933
SPY R735QTJ8XC9X,2/23/2019,67524411,271.162765,262.297509,268.027427,2.864959,273.757345,6.753237,1.022907,0.153485,86.952931
SPY R735QTJ8XC9X,2/26/2019,62309105,271.580476,263.522811,268.673436,2.575312,273.824061,7.376328,1.036507,0.153485,87.102041
SPY R735QTJ8XC9X,2/27/2019,50803236,271.357049,265.356852,269.161366,1.902257,272.96588,6.868295,1.019993,0.175827,85.296507
SPY R735QTJ8XC9X,2/28/2019,50261056,271.250193,266.193775,269.541152,1.673689,272.88853,6.365685,0.68291,0.186513,78.547486
SPY R735QTJ8XC9X,3/1/2019,52705292,270.579912,266.903247,269.730018,1.413385,272.556789,5.838632,0.599367,0.253541,70.273349
SPY R735QTJ8XC9X,3/2/2019,63841484,272.474185,268.396674,270.228957,0.916142,272.061241,6.477047,0.788795,0.195256,80.157947
SPY R735QTJ8XC9X,3/5/2019,89439315,271.425049,268.810234,270.446428,0.818097,272.082623,5.582654,0.496397,0.300169,62.317073
SPY R735QTJ8XC9X,3/6/2019,48424114,271.075337,269.086822,270.560775,0.736977,272.034729,5.098412,0.451711,0.335141,57.407407
SPY R735QTJ8XC9X,3/7/2019,61764426,269.375348,268.569393,270.345243,0.887925,272.121093,4.480768,0.394397,0.505139,43.844492
SPY R735QTJ8XC9X,3/8/2019,85177517,267.218791,266.991037,269.776797,1.39288,272.562558,3.628993,0.394397,0.625596,38.666667
SPY R735QTJ8XC9X,3/9/2019,74622647,266.684509,265.540181,269.214563,1.837191,272.888945,2.882767,0.231198,0.679024,25.400213
SPY R735QTJ8XC9X,3/12/2019,53869973,270.541055,265.874264,269.455743,1.79074,273.037223,3.421466,0.575082,0.679024,45.855926
SPY R735QTJ8XC9X,3/13/2019,65873897,271.454192,266.224594,269.819098,1.797252,273.413602,4.080205,0.666396,0.656681,50.367107
